contract,found vulnerablities,code_coverage,branch_coverage
./chy_data/regen_return_undel/LANDProxy.sol,[],71.31011608623548,55.88235294117647
./chy_data/regen_return_undel/44311.sol,"[{""type"":""Unsafe delegatecall "",""txs"":[{""delegatecallSetN(address,uint256)"":{""argtype"":[""address"",""uint256""],""argdata"":[""0xdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef"",""115792089237316195423570985008687907853269984665640564039457584007913129639934""]}}],""pc"":370}]",99.33333333333333,80
./chy_data/regen_return_undel/33741.sol,"[{""type"":""Unsafe delegatecall "",""txs"":[{""testcall(address,uint256,bytes)"":{""argtype"":[""uint160"",""uint256"",""bytes""],""argdata"":[""1084759163765212543384927295837389532354641660700"",""2"",""bytearray(b'\\xea\\x18K\\xabb\\xc4\\xc1D\\xb1o@i\\xb1\\xd2L\\x08\\xbc:\\xef\\xb2\\xe7\\xe1\\x81X\\xb3x\\xa9\\xeb\u003e]\\r\\xa2\\xf5')""]}}],""pc"":565}]",99.7624703087886,96.15384615384616
./chy_data/regen_return_undel/Masker.sol,"[{""type"":""Transaction order dependency "",""txs"":[{""update(address)"":{""argtype"":[""address""],""argdata"":[""0xcafebabecafebabecafebabecafebabecafebabe""]}},{""update(address)"":{""argtype"":[""address""],""argdata"":[""0xcafebabecafebabecafebabecafebabecafebabe""]}},{""00000000"":{""argtype"":[],""argdata"":[]}},{""update(address)"":{""argtype"":[""address""],""argdata"":[""0xcafebabecafebabecafebabecafebabecafebabe""]}},{""update(address)"":{""argtype"":[""address""],""argdata"":[""0xcafebabecafebabecafebabecafebabecafebabe""]}},{""00000000"":{""argtype"":[],""argdata"":[]}},{""00000000"":{""argtype"":[],""argdata"":[]}}],""pc"":356}]",99.70149253731343,95.83333333333334
