
Integer_Overflow
proxy_pattern_false_positive proxy proxyCall

Unprotected_Selfdestruct
0x0208a56ea43c3ff6c2611071948794c2674a16b9_1 ERBIUMCOIN kill
0x0208a56ea43c3ff6c2611071948794c2674a16b9_2 ERBIUMCOIN transferOwnership
0x05f8b281410c9327a1bbf508db380fd967c31df6 MyAdvancedToken selfdestructs
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_2 MyEthDice kill
0x11eba93a0a852fd34002f5411e1663cf864edb8b_1 Morality deprecateContract
0x2120887e9e4889653770b228ee8d13231d0ef045_1 TransferToken kill
0x3bcaf56923335062e8f272d011efd2e40fa42147 SML admin
0x42e98f6ed27fc8f76118efb7d4fe9a254bf3bcc9_1 GAWToken withdrawEther
0x5f7bb27f7a4702ebce052745cddc1f567ec89e15_1 EthGame stop
0x860a8c64cbc7f9aac11428ef8df989f5770cda60_1 StandardToken destoryContract
0x95195adFb67f28AcFC07CE09eb496188527C0303_2 CNEXToken kill
0x9ac4883b0226fb37fa362dbd76564c539c4f0ee6_1 ReferStorage finish
0xb5c0e43a6330b9eb904ec57ea24d70269ae4652e StandardToken destroycontract
0xb60e133dacf00b6f560909dc0a5311ae7f9a659b GymToken kill
0xfbfa60a21b423cb364de616a37464b61c1bc4c88_1 FairDice kill
WalletLibrary WalletLibrary kill

BD
ether_lotto EtherLotto play
governmental_survey Governmental invest
guess_the_random_number GuessTheRandomNumberChallenge GuessTheRandomNumberChallenge
lottery Lottery makeBet
lucky_doubler LuckyDoubler rand
old_blockhash PredictTheBlockHashChallenge settle(
roulette Roulette fallback
smart_billions SmartBillions betOf
smart_billions SmartBillions calcHashes
10186 FreezableToken releaseAll
0 BREBuy getRamdon
15 NXX addSupportedToken
112 ZeroGoldPOWMining merge
124 AccessService _buyDiscountTTW
129 DelayedClaimable claimOwnership
176 IcoRocketFuel finalize
237 braggerContract brag(
238 DEJToken startFunding
246 Kleros passPeriod
313 Ethnamed removeExpiredName
347 CrowdsaleWPTByRounds hasOpened
415 BlockHashRNG saveRN
419 SnooKarma redeem
649 DVPlock addInvestor
665 TwoYearDreamTokensVesting getTokensUnlockedPercentage
738 Token unfreezeFoundingTeamBalance
1051 LimitCollectCoin setFreezing
1256 Betting priceCallback
1704 ExternalView totalInfo
2110 GuessEth draw(
2295 WrapperLock deposit(
2295 WrapperLock withdraw(
2670 TwentyDollars bid(
2805 AZExchange trade(
2861 TokenVesting vestedAmount
3060 TokenLock release(
3123 IcoLib setVesting(
3132 PresalePool checkContributorBalance
3185 StarmidFreezeTokens refundTokens
3271 hodlEthereum party(
3689 EthertoteToken totalSupply(
3704 KickTheCoin getBlocksLeftInCurrentKick
3711 KickTheCoin sundown(
6370 AMTTimelockedToken releaseToken(
6596 FreezableToken freeze(
6811 XTVToken burnTokens
6833 MOEToken lockTime(
7419 SponsoredItemGooRaffle startTokenRaffle
7521 BSPVesting vestedAmount(
8099 tipbot mint(
8314 Vault addMembers
8320 ESSENTIA_PE EMGwithdraw(
8826 TokenOffering startOffering
8851 mameCoin refund(
9221 EtherBet random(
9359 SecurityController isTransferAuthorized(
9560 dappVolumeAd updateAd(
9830 SpaceWar StartNewMiner
9843 Frozenable unfreeze(
9918 GENEOSSale time(
9994 BaseGameLogic calculateScore(
10915 DiceRoll createWinner
